ID,Plant,Height,Width 1,Width 2,Stem Diameter,Pot Size,Date Planted,Notes
390,ADFA (Orange + Green),59.5,36.7,25.3,1.12,2 GAL,2/27/2020,
391,SAME (Orange + Pink),10.7,7.1,6.8,0.27,,2/20/2020,
392,CEOL (Orange),15.8,11.5,6.2,0.3,,2/14/2020,
393,ENCA (Pink),42.3,15.8,14.6,0.39,,2/27/2020,
394,HEWH (White),30,40,28,,,1/30/2020,
395,ENCA (Pink),35.9,18.5,13.4,0.45,,3/19/2020,replant
396,SANI (Orange + Yellow),14,22.75,13.75,0.4,,2/21/2020,
397,MALA (White + Yellow),34.9,16.2,14.5,0.4,,2/14/2020,
398,ENCA (Pink),6,26,10.5,,,1/30/2020,planted in rocky plot 
399,RHOV (White + Pink),15.6,11.9,7.4,0.4,,2/1/2020,
400,RHOV (White + Pink),12.5,5,5.2,0.389,,1/30/2020,
401,SANI (Orange + Yellow),13.6,24.7,23.6,0.2,,2/15/2020,
402,HEAR,19.2,14.6,10.4,0.27,,2/27/2020,
403,RHOV (White + Pink),9.289,7.954,5.969,0.502,,1/30/2020,
404,CEOL (Orange),20.6,20.6,8.1,0.22,,2/27/2020,
405,ADFA (Orange + Green),60.4,39.2,37.9,0.6,1 GAL ,2/1/2020,
406,RHOV (White + Pink),15.1,8,7.3,0.45,,2/27/2020,
407,MALA (White + Yellow),32.1,11.2,9.5,0.3,,2/14/2020,
408,HEWH (White),17.5,25,21.2,,,2/1/2020,
409,CEOL (Orange),10.7,9.6,8.3,0.09,,2/15/2020,
410,CEOL (Orange),28.6,10.2,8.7,0.15,,2/14/2020,
411,SAME (Orange + Pink),9.4,6.4,5.9,0.26,,2/27/2020,
412,RHOV (White + Pink),11.591,9.985,5.902,0.475,,1/30/2020,
413,RHOV (White + Pink),8.433,6.992,5.583,0.433,,1/30/2020,
414,HEAR,17.8,17.9,11.4,0.4,,2/27/2020,
415,ENCA (Pink),47.5,15.3,14.6,0.38,,2/27/2020,
416,MALA (White + Yellow),35.5,18.4,17.4,0.25,,2/14/2020,
417,RHOV (White + Pink),14.764,8.747,8.477,0.495,,1/30/2020,
418,ADFA (Orange + Green),52.4,57.5,33.1,0.53,1 GAL ,2/1/2020,
419,ENCA (Pink),39,15.5,10,0.4,,2/1/2020,
420,MALA (White + Yellow),23.1,11.2,11.2,0.2,,2/14/2020,
421,CEOL (Orange),17.6,8.5,8.1,0.1,,2/15/2020,
422,ENCA (Pink),25.5,10.9,8.4,0.32,,2/1/2020,
423,SANI (Orange + Yellow),18.1,18.8,15.7,0.05,,2/14/2020,
424,CEOL (Orange),13.1,11.4,8.2,0.12,,2/15/2020,
425,HEWH (White),10,20.3,11.2,,,2/1/2020,
426,HEWH (White),6.8,23.7,9.5,,,2/1/2020,
427,CEOL (Orange),15.5,7.6,7.5,0.1,,2/15/2020,
428,ENCA (Pink),10,30.5,11.8,0.2,,2/1/2020,
429,RHOV (White + Pink),8.241,6.974,6.916,0.528,,1/30/2020,ants that bite 
430,ADFA (Orange + Green),53,45.8,27.2,0.78,1 GAL,2/27/2020,
431,CEOL (Orange),,,,,,2/15/2020,
432,HEWH (White),17.5,30,10,,,2/1/2020,
433,CEOL (Orange),10,7.2,7.2,0.1,,2/20/2020,
434,CEOL (Orange),5.6,6.4,5.4,0.8,,2/20/2020,"Gopher, moved down hill"
435,HEAR,14.9,15,14.5,0.39,,2/28/2020,
436,MALA (White + Yellow),32.2,14.4,13.1,1.9,,2/14/2020,
437,MALA (White + Yellow),27,27.4,14.6,2,,2/14/2020,
438,HEWH (White),14.4,30.4,17.2,,,2/20/2020,
439,RHOV (White + Pink),11.5,7.5,7,0.38,,2/7/2020,
440,HEWH (White),23,45,28,,,2/15/2020,
441,SAAP (White + Green),16.2,18.7,15.9,0.1,,2/14/2020,
442,HEWH (White),24.9,38.2,10.9,,,2/1/2020,
443,ENCA (Pink),43.9,7.7,6.4,0.474,,2/1/2020,
444,HEWH (White),12,30.5,11,,,2/1/2020,
445,HEWH (White),14.5,31.5,29,,,2/1/2020,
446,RHOV (White + Pink),15.2,8.6,8.1,0.401,,2/1/2020,
447,ADFA (Orange + Green),58,64,32,1.548,2 GAL,2/15/2020,
448,HEWH (White),8.4,9.1,2.4,,,2/1/2020,
449,MALA (White + Yellow),38.1,13.4,12.8,0.45,,2/14/2020,
450,SAME (Orange + Pink),10.9,5.7,4.4,0.2,,2/21/2020,
451,ENCA (Pink),32.8,14.1,10.7,0.28,,2/15/2020,
452,RHOV (White + Pink),14.1,10.4,13.6,0.43,,2/15/2020,
453,CEOL (Orange),13.6,5.9,6.4,0.16,,2/15/2020,
454,ENCA (Pink),7.8,3.7,3.4,0.456,,2/1/2020,
455,ENCA (Pink),39.3,19.1,13.6,0.48,,3/19/2020,replant
456,RHOV (White + Pink),10.6,8.7,7.3,0.43,,2/1/2020,
457,SAAP (White + Green),28.4,20.3,17.5,0.6,,2/1/2020,
458,CEOL (Orange),14.4,8.4,7.7,0.15,,2/15/2020,
459,HEWH (White),14.2,36.6,15.5,,,2/15/2020,
460,RHOV (White + Pink),13.4,8.6,7.7,0.29,,3/27/2020,replant
461,ENCA (Pink),34.1,8.5,7.4,0.25,,2/20/2020,
462,CEOL (Orange),7.7,5.4,5.1,0.5,,2/20/2020,
463,CEOL (Orange),22.1,10.4,8.7,0.28,,2/28/2020,
464,ENCA (Pink),43.6,15.2,14.8,0.47,,3/19/2020,replant
465,MALA (White + Yellow),21,10.5,12,0.29,,2/15/2020,
466,SAAP (White + Green),10.9,13.5,11.4,0.1,,2/20/2020,
467,RHOV (White + Pink),15.1,9.1,6,0.46,,2/7/2020,
468,CEOL (Orange),12.2,7.2,6.7,0.26,,2/15/2020,
469,ENCA (Pink),34.4,6.8,5.9,0.017,,2/7/2020,
470,ENCA (Pink),12.3,7.9,4.3,0.015,,2/7/2020,
471,RHOV (White + Pink),13.1,9,5.75,0.48,,2/7/2020,
472,ENCA (Pink),14.6,33.8,18.25,0.44,,3/19/2020,replant
473,RHOV (White + Pink),,,,,,2/7/2020,
474,CEOL (Orange),12.1,6.8,6.6,0.12,,2/15/2020,
475,HEWH (White),18.6,43.5,21,,,2/15/2020,
476,ENCA (Pink),38.3,13.4,12.2,0.38,,2/15/2020,
477,SAME (Orange + Pink),3.6,5.6,2.9,0.15,,3/2/2020,
478,CEOL (Orange),12.7,8.4,3.6,0.1,,2/15/2020,
479,SAAP (White + Green),11.5,12.7,7.8,0.1,,2/14/2020,
480,RHOV (White + Pink),17.9,10.5,8.2,0.37,,2/20/2020,
481,SANI (Orange + Yellow),13.2,15,7.9,0.3,,2/14/2020,
482,RHOV (White + Pink),11.25,10,5,0.43,,2/7/2020,
483,CEOL (Orange),16.8,8.3,5.3,0.11,,2/15/2020,
484,SAME (Orange + Pink),5.5,5.1,3.6,0.17,,2/20/2020,
485,HEWH (White),24,46.5,29,,,2/15/2020,
486,ENCA (Pink),8,22,23,0.2,,2/15/2020,
487,HEWH (White),26,38.2,35.3,,,2/15/2020,
488,ADFA (Orange + Green),59,40,36,1.469,2 GAL,2/15/2020,
489,SAAP (White + Green),9.1,10.7,8.1,0.2,,2/20/2020,
490,SAAP (White + Green),12.8,8.3,6.2,0.1,,2/20/2020,
491,MALA (White + Yellow),24.1,14.6,10.8,0.2,,2/15/2020,
492,CEOL (Orange),9.2,7.5,5.1,0.15,,2/7/2020,
493,ENCA (Pink),35.7,6.8,5.3,0.35,,2/7/2020,
494,HEWH (White),20.5,42.5,23.8,,,2/15/2020,
495,SAAP (White + Green),10.9,31,12.2,0.32,,2/15/2020,
496,HEWH (White),23.5,45,16.8,,,2/15/2020,
497,CEOL (Orange),12.2,8.2,7.6,0.1,,2/15/2020,
498,MALA (White + Yellow),28.1,15.5,14,0.3,,2/15/2020,
499,SAME (Orange + Pink),3.8,3.8,3.2,0.13,,2/27/2020,
500,CEOL (Orange),,,,,,2/15/2020,
501,CEOL (Orange),22.9,12.2,10.7,0.26,,2/14/2020,
502,SANI (Orange + Yellow),9.1,13.2,9.8,0.31,,2/14/2020,
503,RHOV (White + Pink),10.2,7.2,6.1,0.44,,1/30/2020,
504,SAME (Orange + Pink),12.8,8.9,6.5,0.29,,2/20/2020,
505,SAAP (White + Green),18.3,17.5,15.2,0.3,,2/15/2020,
506,CEOL (Orange),21,10.3,9.9,0.28,,2/14/2020,
507,RHOV (White + Pink),13.8,10.1,7.2,0.43,,1/30/2020,
508,CEOL (Orange),31.1,9.2,8.5,0.27,,2/14/2020,
509,HEAR,15.8,18.4,13.4,0.39,,2/27/2020,big hole
510,ENCA (Pink),17,32,12,,,2/1/2020,gopher activity 
511,HEWH (White),17.9,22.6,22.4,,,1/30/2020,
512,ENCA (Pink),19,30,12,,,2/1/2020,
513,SANI (Orange + Yellow),8.5,9.8,7.7,0.32,,2/14/2020,
514,RHOV SAAP (White + Pink),27.4,15.8,15.2,0.39,,2/15/2020,
515,HEWH (White),15,33,16,,,2/1/2020,
516,SAAP (White + Green),10.6,10,5.2,0.24,,2/27/2020,
517,RHOV (White + Pink),13.5,10,9.25,0.56,,2/21/2020,
518,HEWH (White),18.7,24.3,12.1,,,2/1/2020,
519,CEOL (Orange),18.9,15.8,7,0.26,,2/5/2020,
520,SAME (Orange + Pink),18.2,9.9,4.1,0.31,,2/27/2020,
521,ENCA (Pink),9.5,4.8,3.9,,,2/1/2020,
522,RHOV (White + Pink),9.5,7.98,7.75,0.42,,2/1/2020,planted in biting ant colony 
523,ENCA (Pink),18.9,7.4,5.4,0.21,,2/1/2020,
524,CEOL (Orange),,,,,,2/5/2020,
525,HEWH (White),27.6,29.8,17,,,2/1/2020,
526,CEOL (Orange),20,10.4,8.7,0.16,,2/5/2020,
527,RHOV (White + Pink),9.7,8.5,5.5,0.34,,2/1/2020,
528,CEOL (Orange),31.7,14.4,7.9,0.22,,2/1/2020,
529,CEOL (Orange),24.5,11,9.1,0.19,,2/5/2020,
530,SANI (Orange + Yellow),8.6,14.3,10,0.29,,2/14/2020,
531,MALA (White + Yellow),42.3,24.6,16.3,0.39,,2/14/2020,
532,CEOL (Orange),27.9,8.9,8.7,0.25,,2/5/2020,
533,RHOV (White + Pink),13.4,9.8,7.2,0.47,,1/30/2020,
534,RHOV (White + Pink),11.2,7.1,8.2,0.62,,1/30/2020,
535,SAME (Orange + Pink),11.1,4.9,4.4,0.26,,2/27/2020,
536,RHOV (White + Pink),11.6,9.55,7.24,0.56,,1/30/2020,
537,SAME (Orange + Pink),11.5,6.5,4,0.28,,2/27/2020,
538,CEOL (Orange),18.6,10.1,9.9,0.28,,2/14/2020,
539,RHOV (White + Pink),15.4,8.8,7.4,0.5,,1/30/2020,
540,MALA (White + Yellow),39.2,12.8,12.2,0.36,,2/14/2020,
541,CEOL (Orange),12,7.8,6.9,0.21,,2/14/2020,
542,CEOL (Orange),6.5,5.6,4.4,0.13,,2/27/2020,
543,RHOV (White + Pink),15.4,8.8,7.4,0.5,,1/30/2020,
544,HEWH (White),18.4,39.8,7.3,,,1/30/2020,
545,SAAP (White + Green),12.2,14,13.4,0.39,,2/27/2020,
546,RHOV (White + Pink),21.4,10,8.8,0.49,,1/30/2020,
547,ENCA (Pink),21.8,15.2,9.2,0.28,,2/27/2020,
548,ADFA (Orange + Green),55.5,37,34,2.83,2 GAL,2/4/2020,
549,CEOL (Orange),23.4,11.2,10.9,0.24,,2/14/2020,
550,ENCA (Pink),7,7.25,4.5,0.35,,2/1/2020,
551,SANI (Orange + Yellow),10.2,21.9,17.8,0.31,,2/14/2020,
552,HEWH (White),17.6,32.2,15.2,,,2/1/2020,
553,CEOL (Orange),23.4,9.3,7.8,0.28,,2/14/2020,
554,HEWH (White),18.4,22.6,6.7,,,2/1/2020,
555,ENCA (Pink),33.4,16,11,0.35,,2/1/2020,
556,MALA (White + Yellow),42.4,19,16.3,0.46,,2/14/2020,
557,HEWH (White),23,53.5,21,,,2/1/2020,
558,ADFA (Orange + Green),45,47,38,0.58,1 GAL,2/4/2020,
559,MALA (White + Yellow),30.6,14.6,9.2,0.38,,2/14/2020,
560,CEOL (Orange),13.2,6,4.9,0.19,,2/27/2020,
561,CEOL (Orange),7.6,5.9,5.3,0.17,,2/27/2020,
562,ENCA (Pink),35.6,6.8,6.2,0.35,,2/5/2020,
563,HEWH (White),31.4,57.8,28.8,,,2/5/2020,
564,HEWH (White),30.8,35.4,5.6,,,2/5/2020,
565,HEWH (White),15.3,24.3,20.3,,,2/5/2020,
566,CEOL (Orange),6.4,5.5,6.4,0.19,,2/27/2020,
567,ENCA (Pink),33.3,27.2,10.2,0.37,,2/27/2020,
568,ADFA (Orange + Green),48.1,49.5,39.4,1.2,2 GAL ,2/27/2020,
569,HEWH (White),18,36.5,33.2,,,2/27/2020,
570,ENCA (Pink),38.2,15.4,12.4,0.34,,2/27/2020,
571,ADFA (Orange + Green),65.8,74.2,45.3,0.69,1 GAL,2/1/2020,
572,HEWH (White),21,24.5,17.2,,,2/1/2020,
573,ADFA (Orange + Green),55,71.5,21.75,1.43,2 GAL,2/7/2020,
574,SAAP (White + Green),15,19,15,0.2,,2/15/2020,
575,HEWH (White),23,39,19,,,2/15/2020,
576,SANI (Orange + Yellow),23.5,22.3,28.4,,,2/5/2020,
577,HEWH (White),23.5,27.3,28.4,,,2/5/2020,
578,CEOL (Orange),14.8,8.2,7,0.18,,2/14/2020,
579,CEOL (Orange),18.9,7.9,5.2,0.22,,2/14/2020,
580,ENCA (Pink),30.1,15.3,11.7,,,2/27/2020,no SD recorded
581,SANI (Orange + Yellow),7,11.1,10.9,0.27,,2/14/2020,
582,RHOV (White + Pink),13.4,8.2,6.7,0.52,,2/5/2020,
583,RHOV (White + Pink),16.8,10.8,10.7,0.36,,2/5/2020,
584,SANI (Orange + Yellow),9.8,15.5,12.6,0.3,,2/14/2020,
585,RHOV (White + Pink),,,,,,2/5/2020,
586,HEWH (White),13.5,7.9,6.3,0.49,,2/6/2020,
587,CEOL (Orange),9.4,9,5.6,0.18,,2/21/2020,
588,SAME (Orange + Pink),7.75,5.25,5.75,0.26,,2/21/2020,
589,SAME (Orange + Pink),4.5,4.5,4.3,0.2,,3/2/2020,gopher
590,ENCA (Pink),40.1,8.8,8.2,0.37,,2/5/2020,
591,CEOL (Orange),13.9,9.5,7.5,0.19,,2/6/2020,
592,ADFA (Orange + Green),57.5,26.5,24,2.5,2 GAL,2/6/2020,
593,CEOL (Orange),10.7,7.4,6.5,0.22,,2/5/2020,
594,CEOL (Orange),9.9,6.7,6.6,0.19,,2/5/2020,
595,ENCA (Pink),25.5,40,12,0.389,,2/15/2020,
596,ADFA (Orange + Green),41.5,57,37.3,0.5,1 GAL,2/1/2020,
597,HEWH (White),24,54,9,,,2/15/2020,
598,RHOV (White + Pink),,,,,,2/5/2020,
599,SAME (Orange + Pink),17.9,5.9,5.1,0.42,,2/20/2020,
600,CEOL (Orange),12.5,24,12,0.202,,2/15/2020,
601,HEWH (White),31.1,24.5,12.1,,,2/15/2020,
602,SAAP (White + Green),23.2,21.3,12,0.8,,2/14/2020,
603,CEOL (Orange),,,,,,2/15/2020,
604,SAME (Orange + Pink),3.9,18.1,8.5,0.37,,2/20/2020,
605,RHOV (White + Pink),15,8,7,0.64,,2/1/2020,
606,SAAP (White + Green),16.2,19,19.8,0.3,,2/14/2020,
607,RHOV (White + Pink),13,10,9,0.4,,2/15/2020,
608,ADFA (Orange + Green),54,38,25,1.45,2 GAL,2/15/2020,
609,CEOL (Orange),15,8.5,6,0.2,,2/15/2020,
610,MALA (White + Yellow),29.1,16.2,15.5,0.7,,2/14/2020,
611,CEOL (Orange),17.5,10.4,8.6,0.29,,2/15/2020,
612,RHOV (White + Pink),11.9,6,4.4,0.438,,2/1/2020,
613,RHOV (White + Pink),11.4,7,8,0.42,,2/1/2020,
614,CEOL (Orange),19.5,9.4,6.9,0.27,,2/15/2020,
615,HEWH (White),19.5,29.3,24.7,,,2/15/2020,
616,SANI (Orange + Yellow),10.9,18.7,6.8,0.2,,2/15/2020,
617,SAAP (White + Green),22,14,14,0.1,,2/15/2020,
618,RHOV (White + Pink),13,9,10,0.18,,2/15/2020,
619,ENCA (Pink),22.5,12.25,8,0.25,,2/7/2020,
620,HEWH (White),22.1,39.4,24.3,,,2/15/2020,
621,ENCA (Pink),34.4,13.2,11.5,0.35,,2/28/2020,
622,SANI (Orange + Yellow),17.8,16.1,10.3,0.17,,2/15/2020,already planted
623,RHOV (White + Pink),12.6,9.7,7.1,0.6,,2/6/2020,
624,HEWH (White),40,32.5,20.4,,,2/28/2020,
625,CEOL (Orange),12.4,9,7.8,0.1,,2/15/2020,already planted
626,ADFA (Orange + Green),43.2,52.5,33,,2 GAL,2/20/2020,
627,MALA (White + Yellow),15.1,18.2,12.7,0.17,,2/15/2020,already planted
628,SANI (Orange + Yellow),14.8,19.6,15.3,0.39,,2/28/2020,
629,HEWH (White),26.8,50.6,39.9,,,2/20/2020,
630,SAME (Orange + Pink),7.8,4,3.4,0.19,,3/2/2020,
631,RHOV (White + Pink),12.4,7.8,7.6,0.4,,2/6/2020,
632,ENCA (Pink),49.8,10.2,9.9,0.32,,2/28/2020,
633,CEOL (Orange),11.25,7.75,6.5,0.16,,2/28/2020,
634,CEOL (Orange),15,8.4,7.7,0.17,,2/28/2020,
635,ENCA (Pink),27.5,6.25,7.25,0.35,,2/7/2020,
636,ENCA (Pink),27.75,6.5,6,0.35,,2/7/2020,
637,ENCA (Pink),32,4.5,1.5,0.333,,2/15/2020,
638,CEOL (Orange),12,6,4,0.354,,2/15/2020,
639,SAAP (White + Green),12,15,16,0.3,,2/15/2020,
640,CEOL (Orange),11.8,9.8,9.4,0.18,,2/6/2020,
641,CEOL (Orange),11.9,8.9,5.7,0.17,,2/6/2020,
642,ENCA (Pink),15.4,12.7,9.2,0.32,,2/5/2020,
643,RHOV (White + Pink),11.2,7.4,5.7,0.332,,2/1/2020,
644,CEOL (Orange),19,8.8,8.4,0.19,,2/6/2020,
645,HEWH (White),10,23,12,,,2/1/2020,
646,RHOV (White + Pink),10.7,7.9,6.3,0.29,,2/1/2020,
647,MALA (White + Yellow),46.5,18.3,16.4,0.46,,2/28/2020,
648,RHOV (White + Pink),13,11,8,0.5,,2/1/2020,
649,CEOL (Orange),15.9,11.8,9.8,0.3,,2/28/2020,
650,RHOV (White + Pink),13.9,10.6,4.6,0.628,,2/1/2020,
651,HEWH (White),18.5,40.1,18.7,,,2/5/2020,
652,HEWH (White),22.7,47.5,35,,,2/5/2020,
653,CEOL (Orange),17,10.3,9.4,0.28,,2/5/2020,
654,SAME (Orange + Pink),5.5,4.2,3.3,0.21,,3/2/2020,
655,HEWH (White),18.8,19.6,17.5,,,2/15/2020,
656,SANI (Orange + Yellow),17.8,18.5,17.6,0.2,,2/15/2020,
657,RHOV (White + Pink),10.4,8.8,8,0.421,,2/5/2020,
658,ENCA (Pink),23.7,12.2,7.8,0.3,,2/5/2020,
659,ADFA (Orange + Green),53.5,66,57,0.69,1 GAL ,2/4/2020,
660,CEOL (Orange),13.2,7.3,7,0.2,,2/28/2020,
661,CEOL (Orange),14.3,6.5,6.3,0.19,,2/28/2020,
662,ADFA (Orange + Green),52.5,30.5,36.25,0.53,2 GAL,2/7/2020,
663,MALA (White + Yellow),34.6,12.6,12.4,0.19,,2/15/2020,
664,ENCA (Pink),25.8,8.5,7.2,0.28,,2/5/2020,
665,ENCA (Pink),15.6,6,5.7,0.39,,2/5/2020,
666,SANI (Orange + Yellow),13.8,14,12.6,0.3,,2/15/2020,
667,CEOL (Orange),11.1,7.8,6.3,0.017,,2/3/2020,
668,RHOV (White + Pink),9.9,6.5,5.4,0.4,,2/6/2020,
669,ADFA (Orange + Green),60.5,53.3,22.4,,2 GAL,2/20/2020,
670,SAME (Orange + Pink),18.3,6.4,7.5,0.5,,2/20/2020,
671,CEOL (Orange),25.2,9.1,8.1,0.3,,2/20/2020,
672,MALA (White + Yellow),20.3,19.4,15.5,0.27,,2/21/2020,
673,ADFA (Orange + Green),61.4,43,24.4,0.26,2 GAL,2/28/2020,
674,RHOV (White + Pink),17.3,10,7,0.75,,2/18/2020,
675,SANI (Orange + Yellow),14.7,21,20.4,0.17,,2/15/2020,
676,RHOV (White + Pink),14.6,11.5,6.4,0.52,,2/6/2020,
677,SANI (Orange + Yellow),15.6,11.7,10.5,0.19,,2/15/2020,"gopher hole, moved; also dumped double the amount of water into hole, put extra 250 of water on top"
678,ADFA (Orange + Green),55.75,43.5,34.25,2.5,2 GAL,2/7/2020,
679,HEWH (White),24.8,33.6,18.4,,,2/21/2020,
680,CEOL (Orange),8.1,5.8,3.9,0.19,,2/3/2020,
681,SANI (Orange + Yellow),10.6,17.3,13.4,0.3,,2/15/2020,
682,HEWH (White),19.2,40.9,24.4,,,2/15/2020,
683,HEWH (White),17.4,36.2,33.6,,,2/21/2020,
684,HEWH (White),20.7,42.6,17.2,,,2/21/2020,
685,HEWH (White),13,25.9,21.8,,,2/21/2020,
686,ENCA (Pink),28,11.3,9.8,0.37,,2/6/2020,
687,CEOL (Orange),12.1,7.6,7.1,0.14,,2/21/2020,
688,ENCA (Pink),9.1,33.4,7.7,0.3,,2/21/2020,gopher
689,ENCA (Pink),29.2,7.6,6.4,0.32,,2/28/2020,
690,HEWH (White),20.5,47.8,18.5,,,2/21/2020,
691,SANI (Orange + Yellow),9.4,20.1,13.4,0.35,,2/21/2020,
692,CEOL (Orange),5.8,6.4,5.9,0.16,,2/7/2020,
693,RHOV (White + Pink),14.2,10,6.7,0.475,,2/1/2020,
694,HEAR,15.6,18.2,11.6,0.44,,2/28/2020,
695,CEOL (Orange),10.4,8.2,5.4,0.06,,2/7/2020,
696,CEOL (Orange),7.4,6.8,5.9,0.101,,2/7/2020,
697,HEWH (White),14.1,34.4,23.1,,,2/28/2020,
698,ENCA CEOL (Pink),9.2,8.6,6.4,0.2,,2/20/2020,
699,RHOV (White + Pink),16.1,10.5,9.4,0.625,,2/6/2020,
700,RHOV (White + Pink),12.3,9.9,7.3,0.65,,2/6/2020,
701,CEOL (Orange),13,9,8,0.183,,2/15/2020,
702,SANI (Orange + Yellow),8.5,14.2,11.8,0.3,,2/14/2020,
703,ENCA (Pink),11,30,23,0.2,,2/15/2020,
704,RHOV (White + Pink),9.1,6.9,6.5,0.365,,2/1/2020,
705,HEWH (White),22,44,31,,,4/15/2020,
706,RHOV (White + Pink),13,8.7,5.6,0.621,,2/1/2020,
707,SAAP (White + Green),11,11.75,12.4,0.35,,2/21/2020,
708,SAAP (White + Green),12,12.75,10.6,0.41,,2/21/2020,
709,ENCA (Pink),31.8,6.4,5.9,0.27,,2/5/2020,
710,CEOL (Orange),14.3,8.4,8.3,0.09,,2/6/2020,
711,MALA (White + Yellow),34.9,16,15.2,0.6,,2/14/2020,
712,HEWH (White),28,35.5,24.5,1.7,,2/21/2020,
713,ENCA (Pink),24,28.5,10.4,0.28,,2/6/2020,
714,RHOV (White + Pink),14.8,9.7,7.4,0.53,,2/21/2020,
715,ENCA (Pink),35.5,27.8,17.2,0.16,,2/6/2020,
716,SAME (Orange + Pink),3.6,7,5.8,0.28,,3/2/2020,
717,CEOL (Orange),14.25,7.5,6.6,0.2,,2/21/2020,
718,SAAP (White + Green),11.25,5,3.6,0.27,,2/21/2020,
719,RHOV (White + Pink),12.5,8.1,6.8,0.46,,2/6/2020,
720,CEOL (Orange),9.8,4.8,4.25,0.18,,2/21/2020,
721,RHOV (White + Pink),12.75,7.4,7.25,0.49,,2/21/2020,
722,CEOL (Orange),11.3,9.2,6.8,0.19,,2/6/2020,
723,RHOV (White + Pink),16.6,8.8,8.1,,,2/5/2020,
724,ENCA (Pink),18.4,9.8,6.9,0.35,,2/5/2020,
725,CEOL (Orange),10.5,9.1,8.2,0.18,,2/6/2020,
726,CEOL (Orange),15.6,9.4,8.9,0.21,,2/6/2020,
727,RHOV (White + Pink),12.1,9.6,7,0.432,,2/1/2020,
728,CEOL (Orange),21.3,8.9,7.8,0.21,,2/6/2020,
729,HEWH (White),18.3,37.5,25.6,,,2/5/2020,
730,ENCA (Pink),21.6,9.3,5.4,0.4,,2/5/2020,
731,HEWH (White),23.7,33.1,27.5,,,2/5/2020,
732,CEOL (Orange),15.7,7.2,6.1,0.26,,2/6/2020,
733,RHOV (White + Pink),11.4,8.6,6.4,0.54,,2/5/2020,
734,RHOV (White + Pink),15.3,9.1,7.1,0.66,,2/5/2020,
735,SANI (Orange + Yellow),4.75,4.4,3.4,0.3,,2/21/2020,
736,ENCA (Pink),38.8,10.1,8.2,0.33,,2/6/2020,
737,RHOV (White + Pink),11.75,10.25,8,0.52,,2/21/2020,
738,CEOL (Orange),25,10.6,8.4,0.28,,2/21/2020,
739,RHOV (White + Pink),17.4,8.75,8.75,0.46,,2/21/2020,
740,RHOV (White + Pink),18.6,11.6,8.7,0.48,,2/6/2020,
741,ENCA (Pink),30,7.4,6.25,0.44,,2/21/2020,
742,HEWH (White),21.25,58.6,12,1.3,,2/21/2020,
743,RHOV (White + Pink),16.2,10.4,8.8,0.45,,2/6/2020,
744,CEOL (Orange),11.75,13,5.1,0.25,,2/21/2020,
745,CEOL (Orange),7.75,6.4,2.8,0.2,,2/21/2020,
746,MALA (White + Yellow),45.1,18.2,9.1,0.6,,2/14/2020,
747,CEOL (Orange),6.1,5.2,4.5,0.19,,2/21/2020,
748,SAAP (White + Green),16,10.4,9.75,0.5,,2/21/2020,
749,RHOV (White + Pink),15.25,7.9,7.25,0.49,,2/21/2020,
750,SANI (Orange + Yellow),13.5,11,10.5,0.8,,2/14/2020,
751,ENCA (Pink),47.4,10.2,9.8,0.37,,2/6/2020,
752,RHOV (White + Pink),10.9,11,9.6,0.5,,2/6/2020,
753,CEOL (Orange),10.5,9.7,7.8,0.21,,2/6/2020,
754,ENCA (Pink),9.8,4.9,4.4,0.39,,2/5/2020,
755,SAAP (White + Green),,,,,,2/21/2020,
756,SAAP (White + Green),,,,,,2/21/2020,
757,CEOL (Orange),10.6,10.7,7,0.21,,2/6/2020,
758,HEWH (White),22.7,48.8,23.8,,,2/5/2020,
759,SAAP (White + Green),10.5,9.5,8,0.39,,2/28/2020,
760,ENCA (Pink),40.8,10.2,9.7,0.36,,2/6/2020,
761,HEWH (White),16.5,29,16.5,,,2/28/2020,
762,HEWH (White),26.75,45.25,41.5,1.4,,2/21/2020,
763,SANI (Orange + Yellow),12.9,19.4,14.2,0.28,,2/14/2020,
764,MALA (White + Yellow),32.4,17,13.4,0.44,,2/20/2020,
765,ADFA (Orange + Green),57,79,32,0.59,1 GAL ,2/4/2020,
766,CEOL (Orange),21,12.4,7.6,0.35,,2/20/2020,
767,HEWH (White),22.5,33,26.5,,,2/28/2020,
768,ADFA (Orange + Green),33.25,44.75,33.5,0.95,1 GAL ,2/28/2020,
769,CEOL (Orange),6.25,6.4,5,0.28,,2/28/2020,
770,CEOL (Orange),12.5,6.9,3.9,0.28,,2/28/2020,
771,RHOV (White + Pink),19.9,10.5,9.8,0.51,,2/6/2020,
772,SAAP (White + Green),5.25,11.5,8.5,0.29,,2/21/2020,
773,RHOV (White + Pink),18.2,9.3,8.7,0.45,,2/6/2020,
774,CEOL (Orange),7.4,5.25,4.75,0.15,,2/21/2020,
775,HEWH (White),22,37.5,23,,,2/28/2020,
776,CEOL (Orange),8.2,6.2,5.7,0.118,,2/7/2020,Can't read what's written under 8.2
777,CEOL (Orange),8.7,6.4,4.8,0.1,,2/7/2020,
778,CEOL (Orange),8.2,7.4,6.9,0.208,,2/7/2020,
779,ADFA (Orange + Green),45,52.5,30,1.1,1 GAL ,2/7/2020,
780,ADFA (Orange + Green),57,32.5,28,2.2,2 GAL,2/7/2020,
781,HEWH (White),18.6,44.5,20.5,,,2/20/2020,
